,PriceUpdateDate,ItemCode,ItemType,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,ItemId
0,2015-07-28 16:30:45,72940754,1,מילקי בטעם וניל,שטראוס גרופ,ישראל,שטראוס,גרמים,134.00,100 גרם,0,לא ידוע,2.80,0.0209,1,1,15439
1,2015-07-28 16:30:45,72993637,1,דני שוקולד,שטראוס גרופ,ישראל,שטראוס,גרמים,125.00,100 גרם,0,לא ידוע,2.60,0.0208,1,1,15450
2,2015-07-28 16:32:26,7290015324069,1,גריל עוף שקית 80 גרם,"תבליני טעם וריח בע""מ",ישראל,"תבליני טעם וריח בע""מ",גרמים,80.00,100 גרם,0,לא ידוע,4.90,0.0613,1,1,20660
3,2015-07-28 16:32:40,7290011514525,1,דבק דו צדדי,לא ידוע,כללי,דבק דו צדדי,יח',1.00,יח',0,לא ידוע,5.90,5.9000,1,1,21807
4,2015-10-09 08:35:28,7290000318929,1,סלמי בנוסח צרפתי,מעדני יחיעם,ישראל,יחיעם,קילוגרמים,1.00,"ק""ג",1,לא ידוע,139.00,139.0000,1,1,2621
5,2015-11-15 12:32:53,7296021004711,1,שקית זילוף לעוגה,לא ידוע,לא ידוע,שקית זילוף לעוגה,יח',1.00,יח',0,לא ידוע,12.90,12.9000,1,1,709
6,2015-11-16 10:54:54,6931191500571,1,קרש חיתוך פלסטיק,לא ידוע,לא ידוע,קרש חיתוך פלסטיק,יח',1.00,יח',0,לא ידוע,14.90,14.9000,1,1,21722
7,2015-11-16 10:55:05,6985425120684,1,מסננת גדולה,לא ידוע,לא ידוע,מסננת גדולה,יח',1.00,יח',0,לא ידוע,13.90,13.9000,1,1,21773
8,2015-11-16 10:55:11,7290011514075,1,סט תפירה קטן,לא ידוע,כללי,סט תפירה קטן,יח',1.00,יח',0,לא ידוע,9.90,9.9000,1,1,21794
9,2015-11-16 13:04:21,7290105101013,1,נעלי אצבע,יושימין,סין,tomi,יח',1.00,יח',0,לא ידוע,9.90,9.9000,1,1,7631
